date,open,high,low,close,Volume,K,D
3/16/2017,1258.75,1258.96,1130,1172.62,15015.87602,31.00803386,36.1640545
3/17/2017,1172,1173.23,1063,1071.02,16704.57322,17.88825594,29.67456873
3/18/2017,1068.16,1099,944.36,969.4,19309.01337,3.693135561,17.52980845
3/19/2017,969.4,1063.7,969.4,1017.97,12201.86141,4.223250557,8.601547352
3/20/2017,1012.88,1052.99,1010.01,1035.96,7400.339558,12.01681243,6.644399515
3/21/2017,1036.23,1117.9,1034.92,1114.39,11079.56616,30.12021706,15.45342668
3/22/2017,1114.39,1114.39,988,1037.56,14493.57841,37.04339699,26.39347549
3/23/2017,1037.6,1054.4,1010.69,1029.65,5916.995393,39.72537063,35.62966156
3/24/2017,1030.84,1032,920,929.06,16059.70289,24.39934628,33.72270463
3/25/2017,928.1,963.36,891.33,956.02,13507.43542,19.3039694,27.8095621
3/26/2017,956.02,997,937.52,960,9012.917651,15.37489943,19.69273837
3/27/2017,959.08,1043,952.95,1039.92,8687.087115,28.45724401,21.04537095
3/28/2017,1039.09,1068.26,1014.9,1043.99,9115.517125,38.70984537,27.51399627
3/29/2017,1042.83,1059.43,1008.16,1035.96,9379.71932,58.18910635,41.78539858
3/30/2017,1037.29,1050.17,1017.14,1033.7,8626.998037,70.41613577,55.77169583
3/31/2017,1033.79,1081,1031.43,1070.31,12055.63731,87.44581414,72.01701876
4/1/2017,1071.34,1097,1061.64,1083.94,5175.181472,94.75342096,84.20512363
4/2/2017,1083.95,1100,1066.49,1078.01,7639.896217,98.61157988,93.60360499
4/3/2017,1076.59,1152,1076.19,1144.77,11076.86273,98.61157988,97.3255269
4/4/2017,1146.42,1162.93,1118.85,1143,7420.866238,98.27675153,98.49997043
4/5/2017,1143,1145,1111,1134.58,5588.976408,97.65384198,98.18072446
4/6/2017,1134.86,1201.37,1134.36,1190.85,9134.295598,97.65384198,97.8614785
4/7/2017,1190.72,1202,1176,1190.66,5447.727227,97.94963434,97.75243944
4/8/2017,1190.66,1197.3,1166.66,1184.03,2720.798227,98.45217222,98.01854951
4/9/2017,1184.05,1216.87,1173.98,1206.2,4817.550997,98.45217222,98.28465959
4/10/2017,1205.2,1219.71,1195,1209.25,3664.074994,98.49120822,98.46518422
4/11/2017,1209.99,1229,1198.02,1218.99,3496.850177,100,98.98112681
4/12/2017,1218.99,1224.57,1208,1212.17,3475.373475,97.60737798,98.69952873
4/13/2017,1212.16,1219.45,1141,1172.91,7137.767573,78.09150485,91.89962761
4/14/2017,1172.56,1193,1142,1170.34,8986.064102,56.40792761,77.36893681
4/15/2017,1169.53,1192.5,1165,1173.45,1807.250355,38.25420231,57.58454493
4/16/2017,1171,1179.3,1150,1162.31,2701.230846,24.4367421,39.69962401
4/17/2017,1162.31,1192.5,1161,1176.54,3572.208869,20.20460419,27.63184953
4/18/2017,1176.59,1210,1175.95,1202.58,5523.866852,27.53819959,24.05984863
4/19/2017,1202.59,1209.99,1190,1203.98,6050.547385,48.32699283,32.02326554
4/20/2017,1203.98,1243.88,1201.66,1234.19,5990.135318,74.24270798,50.0359668
4/21/2017,1234.93,1252.32,1231.65,1243.61,5033.206117,87.45545991,70.00838691
4/22/2017,1243.6,1247.15,1199,1233.2,4175.160344,92.85476043,84.8509761
4/23/2017,1231.85,1248.99,1223.42,1241.99,2605.621752,89.32074584,89.87698873
4/24/2017,1242,1254,1234,1253.58,3064.381629,89.32074584,90.4987507
4/25/2017,1253.57,1280,1251.07,1269,5251.571811,96.46598542,91.70249237
4/26/2017,1271.4,1330,1265,1287.99,8712.261414,100,95.26224375
4/27/2017,1287.92,1342.02,1285,1331.53,6674.254995,100,98.82199514
4/28/2017,1331,1347.02,1299,1330.7,8238.177334,99.62520742,99.87506914
4/29/2017,1333.93,1342.8,1316,1333,3931.68655,99.62520742,99.75013828
4/30/2017,1336.77,1356,1315.68,1350.21,3539.622184,99.62520742,99.62520742
5/1/2017,1348.88,1425,1341.22,1390.86,8613.237863,100,99.75013828
5/2/2017,1390.86,1481.73,1388,1447.75,8925.074616,100,99.87506914
5/3/2017,1447.75,1516.04,1431.02,1503.22,11094.03953,100,100
5/4/2017,1503.25,1623.01,1444.94,1537.23,19567.15256,100,100
5/5/2017,1537.36,1609,1495,1514.9,15626.63711,92.49196257,97.49732086
5/6/2017,1515.39,1578.97,1505,1558.02,7903.962273,87.5224788,93.33814712
5/7/2017,1554.04,1565,1525,1554.01,7679.740327,80.70639615,86.90694584
5/8/2017,1554.38,1653.97,1554.38,1649.54,19307.38274,87.04862713,85.09250069
5/9/2017,1649.55,1760.4,1616.05,1720.28,16825.35527,92.0181109,86.59104473
5/10/2017,1720.26,1794.21,1682,1772.58,11289.3082,98.83419356,92.63364387
5/11/2017,1774.52,1892,1745.01,1828.45,14746.60472,100,96.95076816
5/12/2017,1830.85,1832,1650,1691.51,17124.89488,66.66666667,88.50028674
5/13/2017,1690.33,1785.82,1601.46,1776.89,10560.31245,39.5933664,68.75334436
5/14/2017,1776.8,1815,1753,1784,4818.121223,13.0007585,39.75359719
5/15/2017,1782.3,1784,1682.56,1705.48,13371.56202,13.0007585,21.86496113
5/16/2017,1706.07,1750,1641.22,1700.38,16607.70163,6.740725428,10.91408081
5/17/2017,1700.01,1840.42,1670.01,1782.99,17828.04732,5.721268164,8.48758403
5/18/2017,1779,1881.8,1766.33,1878.99,11933.61711,16.80187743,9.754623673
5/19/2017,1879,1969.99,1874.99,1958,14279.63137,31.51813765,18.01376108
5/20/2017,1959.09,2021,1914,2013.99,12345.43022,42.79024352,30.3700862
5/21/2017,2013.99,2063.11,1961.52,2017.55,6760.153442,48.84607055,41.05148391
5/22/2017,2017.55,2230.34,2001,2099.97,16364.87232,54.40116617,48.67916008
5/23/2017,2088.76,2275,2088.45,2264.23,14194.84642,62.43541358,55.2275501
5/24/2017,2265.9,2481.75,2264.64,2420.29,22168.8061,73.55878722,63.46512232
5/25/2017,2420.29,2760.1,2221,2292.53,32988.21434,69.74246856,68.57888979
